"scenario","variable","model","year","value","units"
"ssp119","CH4_concentration","hector 3.5.0",1750,731.405995681312,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1751,731.838165285077,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1752,732.899973599209,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1753,733.634036826597,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1754,734.202001924508,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1755,734.736008167541,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1756,735.420842441176,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1757,735.892770784879,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1758,736.206752837272,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1759,736.09865641007,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1760,735.483929192939,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1761,735.762728362167,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1762,736.302723766686,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1763,737.180525388197,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1764,738.102592055227,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1765,738.985607630799,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1766,739.830691491485,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1767,740.728623597222,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1768,741.221726861313,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1769,741.746748890369,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1770,742.300739816366,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1771,742.87091318144,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1772,744.018736406067,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1773,744.662773615012,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1774,744.877876122213,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1775,745.366855728336,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1776,746.04782069065,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1777,746.736570038668,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1778,746.75055188835,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1779,746.906311302685,"ppbv CH4"
